Time (seconds),time,distance
1902.31,25,367
1902.31,25,367
1902.31,25,366
1902.32,25,366
1902.32,25,366
1902.33,25,366
1902.33,25,366
1902.33,25,366
1902.34,25,366
1902.34,25,366
1902.35,25,366
1902.35,25,367
1902.36,25,366
1902.36,25,366
1902.37,25,366
1902.37,25,366
1902.39,25,366
1902.40,25,367
1902.40,25,367
1902.41,25,367
1902.41,25,366
1902.41,25,366
1902.42,25,366
1902.42,25,366
1902.43,25,366
1902.43,25,367
1902.43,25,366
1902.44,25,366
1902.44,25,366
1902.45,25,367
1902.45,25,367
1902.45,25,366
1902.46,25,366
1902.48,25,366
1902.49,25,366
1902.49,25,366
1902.49,25,366
1902.50,25,368
1902.50,25,371
1902.51,25,375
1902.51,25,381
1902.52,25,388
1902.52,25,396
1902.53,25,404
1902.53,25,414
1902.53,25,423
1902.54,25,434
1902.54,25,444
1902.55,25,454
1902.55,25,465
1902.57,25,476
1902.58,25,485
1902.58,25,496
1902.59,25,505
1902.59,25,514
1902.59,25,522
1902.60,25,530
1902.60,25,539
1902.61,25,546
1902.61,25,553
1902.61,25,560
1902.62,25,567
1902.62,25,572
1902.63,25,579
1902.63,25,585
1902.63,25,591
1902.64,25,595
1902.66,25,599
1902.67,25,603
1902.67,25,606
1902.68,25,610
1902.68,25,613
1902.69,25,616
1902.69,25,618
1902.69,25,621
1902.70,25,621
1902.70,25,623
1902.71,25,624
1902.71,25,624
1902.71,25,624
1902.72,25,624
1902.72,25,624
1902.73,25,624
1902.73,25,625
1902.75,25,625
1902.76,25,625
1902.76,25,625
1902.77,25,625
1902.77,25,625
1902.77,25,625
1902.78,25,625
1902.78,25,623
1902.79,25,621
1902.79,25,615
1902.79,25,603
1902.80,25,585
1902.80,25,565
1902.81,25,540
1902.81,25,511
1902.82,25,480
1902.82,25,444
1902.85,25,410
1902.85,25,373
1902.85,25,337
1902.86,25,304
1902.86,25,268
1902.87,25,235
1902.87,25,207
1902.87,25,179
1902.88,25,159
1902.88,25,141
1902.89,25,128
1902.89,25,120
1902.89,25,116
1902.90,25,118
1902.90,25,125
1902.91,25,137
1902.91,25,152
1902.93,25,173
1902.94,25,197
1902.94,25,224
1902.95,25,257
1902.95,25,289
1902.95,25,324
1902.96,25,357
1902.96,25,392
1902.97,25,427
1902.97,25,459
1902.97,25,489
1902.98,25,517
1902.99,25,541
1902.99,25,561
1902.99,25,577
1903.00,25,589
1903.00,25,596
1903.03,25,599
1903.03,25,598
1903.03,25,591
1903.04,25,581
1903.04,25,568
1903.05,25,549
1903.05,25,527
1903.05,25,501
1903.06,25,472
1903.06,25,440
1903.07,25,409
1903.07,25,377
1903.07,25,342
1903.08,25,310
1903.08,25,279
1903.09,25,250
1903.09,25,223
1903.11,25,200
1903.12,25,179
1903.12,25,165
1903.13,25,154
1903.13,25,147
1903.13,25,145
1903.14,25,148
